Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,244.025,-94.5,0.0,top
C10,1uF,C_0603_1608Metric,252.55,-116.5375,0.0,top
C11,1uF,C_0603_1608Metric,244.4,-116.4,180.0,top
C12,1uF,C_0603_1608Metric,247.6,-120.375,90.0,top
C13,100nF,C_0603_1608Metric,234.4,-132.125,-90.0,top
C14,1uF,C_0603_1608Metric,245.9,-120.375,-90.0,top
C15,1uF,C_0603_1608Metric,249.3,-120.375,-90.0,top
C16,100nF,C_0603_1608Metric,249.2,-112.325,-90.0,top
C19,100nF,C_0603_1608Metric,247.6,-112.325,-90.0,top
C2,0.1uF,C_0603_1608Metric,244.025,-88.5,0.0,top
C21,1uF,C_0603_1608Metric,257.375,-125.0,180.0,top
C22,1uF,C_0603_1608Metric,260.95,-108.5,-90.0,top
C23,4.7uF,C_0603_1608Metric,265.54,-133.45,-90.0,top
C24,22uF,C_0603_1608Metric,242.425,-126.175,90.0,top
C25,22uF,C_0603_1608Metric,244.025,-126.175,90.0,top
C26,22uF,C_0603_1608Metric,247.6,-124.225,-90.0,top
C27,22uF,C_0603_1608Metric,245.9,-124.225,90.0,top
C28,22uF,C_0603_1608Metric,249.3,-124.225,-90.0,top
C29,0.1uF,C_0603_1608Metric,239.7,-122.48,90.0,top
C3,10uF,C_0603_1608Metric,240.825,-88.5,180.0,top
C30,0.1uF,C_0603_1608Metric,238.625,-102.5,0.0,top
C31,0.1uF,C_0603_1608Metric,195.200188,-103.406759,-90.0,top
C4,0.1uF,C_0603_1608Metric,244.025,-100.6,0.0,top
C5,0.1uF,C_0603_1608Metric,238.5,-91.125,-90.0,top
C6,100nF,C_0603_1608Metric,259.125,-132.7,0.0,top
C8,1uF,C_0603_1608Metric,251.0,-120.375,-90.0,top
C9,1uF,C_0603_1608Metric,244.4,-118.0,180.0,top
D1,D,D_SOD-323,232.575,-132.245,90.0,top
D2,SMBJ15A,D_SMB,233.9,-105.7375,-90.0,top
D3,TSAL4400,LED_D3.0mm_IRBlack,190.280188,-95.681759,0.0,top
D4,SS34,D_SMA,235.125,-122.48,180.0,top
F1,750 mA,Fuse_0603_1608Metric,233.105,-125.46,0.0,top
F2,8A,Fuse_2920_7451Metric,226.4,-105.0875,180.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,225.9,-127.66,90.0,top
J10,Conn_01x03,PinHeader_1x03_P1.27mm_Vertical,213.115188,-91.301759,-90.0,top
J2,PIR,PinHeader_1x03_P2.54mm_Vertical,260.8,-127.54,0.0,top
J3,AudioPlug3,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,260.5,-116.5375,90.0,top
J4,BH1750,XDCR_BH1750FVI-TR,264.37,-108.49875,0.0,top
J5,TSOP38238,PinHeader_1x03_P2.54mm_Vertical,264.5,-127.54,0.0,top
J7,Screw_Terminal_01x02,Altech_AK100_1x02_P5.00mm,225.9325,-114.3,-90.0,top
J8,Conn_02x03_Counter_Clockwise,PinHeader_1x06_P2.54mm_Vertical,243.83,-138.4,90.0,top
J9,CR2032,BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,200.427734,-126.781759,180.0,bottom
L1,2.2uH,L_0603_1608Metric,240.825,-126.175,-90.0,top
L3,BLM15PX121SN1D,L_0402_1005Metric,230.3,-131.575,-90.0,top
L4,BLM15PX121SN1D,L_0402_1005Metric,230.3,-125.26,90.0,top
MK1,ICS-43434,InvenSense_ICS-43434-6_3.5x2.65mm,262.66275,-133.55,90.0,top
Q1,AO3400A,SOT-23,189.847688,-100.031759,270.0,top
Q2,AOD4184A,TO-252-2,237.175,-116.3,0.0,top
Q3,AO3400A,SOT-23,236.75,-134.5125,180.0,top
Q4,AO3400A,SOT-23,240.2625,-134.5125,180.0,top
Q5,AO3400A,SOT-23,247.3,-134.5125,180.0,top
Q6,AO3400A,SOT-23,243.7875,-134.5125,180.0,top
Q7,AO3400A,SOT-23,250.8,-134.5125,180.0,top
R1,100K,R_0603_1608Metric,259.125,-134.25,180.0,top
R10,100R,R_0603_1608Metric,259.125,-135.8,0.0,top
R11,100R,R_0603_1608Metric,257.375,-127.4,0.0,top
R12,10K,R_0603_1608Metric,240.875,-129.15,180.0,top
R13,33.2K,R_0603_1608Metric,244.0,-129.15,180.0,top
R14,100R,R_0603_1608Metric,238.625,-104.1,180.0,top
R15,10K,R_0603_1608Metric,236.75,-131.7,180.0,top
R16,220R,R_0603_1608Metric,250.825,-108.5,90.0,top
R17,220R,R_0603_1608Metric,252.38125,-108.5,90.0,top
R18,10K,R_0603_1608Metric,240.2625,-131.7,180.0,top
R19,220R,R_0603_1608Metric,255.49375,-108.5,90.0,top
R2,5.1k,R_0603_1608Metric,228.225,-133.86,0.0,top
R20,10K,R_0603_1608Metric,247.3,-131.7,180.0,top
R21,220R,R_0603_1608Metric,253.9375,-108.5,90.0,top
R22,10K,R_0603_1608Metric,243.7875,-131.7,180.0,top
R23,220R,R_0603_1608Metric,257.05,-108.5,90.0,top
R24,10K,R_0603_1608Metric,250.8,-131.7,180.0,top
R25,47R,R_0603_1608Metric,191.220188,-92.381759,0.0,top
R26,150R,R_0603_1608Metric,192.710188,-100.031759,-90.0,top
R27,4.7K,R_0603_1608Metric,211.110188,-93.731759,180.0,top
R3,5.1k,R_0603_1608Metric,228.225,-121.46,180.0,top
